tid,lang,score,text,label,Gender
twv10144,in,0,@gladyswanga @A_S_Nassir Tuna omba Mungu mkuu kushi da wote akupe ushindi thabiti,positive,women
twv10145,tl,0,@gladyswanga @A_S_Nassir Pambana na Kidero kwanza. Mambo ya Mombasa wachia  watu wa Mombasa.,trolling,women
twv10147,en,-0.75,"@gladyswanga @A_S_Nassir We are going government way we don't want domos from his team,we are tired and wanna move on.For mombasa to avoid mass protests we choose peace.There comes a time a nation is more important than individuals",positive,women
twv10148,en,0,@gladyswanga @A_S_Nassir I have your vote but I don't have fare,neutral,women
twv10149,en,0,@gladyswanga @A_S_Nassir He is going to make it.....,neutral,women
twv10150,en,0,@gladyswanga @IdaOdinga The pple who waster Rao are now speaking bure kabisa,insults and Hate speech,women
twv10151,tl,-0.75,@gladyswanga @A_S_Nassir Na  baba ama yake mlichemsha useless luos yaa baba aliibiwa kura mpaka homabay and then u want us to believe u ppl,insults and Hate speech,women
twv10152,en,-0.5,@gladyswanga @MarthaKarua @RailaOdinga U ppl failed baba,trolling,women
twv10155,en,-0.5,@gladyswanga @IdaOdinga Opposition fits,trolling,women
twv10156,en,-1,@gladyswanga @A_S_Nassir Another disappointment loading,trolling,women
twv10157,en,-0.25,@gladyswanga @A_S_Nassir NXT opposition leader in coastal regions,trolling,women
twv10159,en,0,"@gladyswanga @A_S_Nassir Hassan Omar Inshallah,he will make it.",neutral,women
twv10161,in,0,@gladyswanga @A_S_Nassir Kura yangu kwako kesho mapema,neutral,women
twv10165,en,-0.25,@gladyswanga @A_S_Nassir This one is going to loose hands down very early in the morning 8 am,trolling,women
twv10168,und,0,@gladyswanga @JunetMohamed https://t.co/6bOThmrHJr,neutral,women
twv10169,und,0,@gladyswanga,neutral,women
twv10171,und,0,@gladyswanga BS!,insults and Hate speech,women
twv10172,en,0,@gladyswanga my governor,neutral,women
twv10174,es,0,@gladyswanga Odiiiiiiso,neutral,women
twv10175,tl,0,@gladyswanga Dongruok ne Homabay,neutral,women
twv10179,pl,0,@gladyswanga Genowa,neutral,women
twv10180,pl,0,@gladyswanga Genowa,neutral,women
twv10183,pl,0,@gladyswanga Genowa en dongruok,neutral,women
twv10184,tl,0,@gladyswanga Jeshi la BABA,neutral,women
twv10191,und,0,@gladyswanga https://t.co/j3qfvZRr42,neutral,women
twv10192,en,0,"@gladyswanga Congratulations @gladyswanga please don't play sycophancy with leadership, Homabay is in dire need of water, you get to a plot, you are guaranteed of electricity but not water,it worse than how it were 12 years ago when I was a student at Ori",satire,women
twv10193,in,0,"@gladyswanga Wewe kuchaguliwa kwako iko na dosari kibao..
Acha UDA iingie uongozini utajua hujui..",trolling,women
twv10195,en,0,@gladyswanga My Governor,neutral,women
twv10196,en,-0.25,@gladyswanga GVN genowaEndongruok waiting kindly don't ignore me,neutral,women
twv10200,en,0,@gladyswanga Petition inakuja. @KideroEvans will soon be the governor of Homa Bay!,trolling,women
twv10201,en,-0.85,@gladyswanga This tells us a lot that during your xampaign season you did not visit alot of areas of interedt to stratergize your attack of agendas now we know where your loot game is,disinformation,women
twv10202,en,-0.85,@gladyswanga This tells us a lot that during your xampaign season you did not visit alot of areas of interedt to stratergize your attack of agendas now we know where your loot game is,disinformation,women
twv10204,en,-2.05,"@gladyswanga @orengo_james @AnyangNyongo #OchiloAyako this is shameful! We must not allow corruption to cause our Counties in Nyanza to stagnate forever!
We want to see County Budgeted fund doing real infrastructure development! Recurrent budget must be ",positive,women
twv10210,en,-0.1,@gladyswanga This is commendable. Good start Governor...time to drain the murky swamp by starting with our Health Sector #GenowaEnDongruok,positive,women
twv10211,en,-1,@gladyswanga Do something to nurses they are really suffering,neutral,women
twv10212,in,0,@gladyswanga Mimi sio mfuasi wako wala wa Raila lakini nakupenda bure,neutral,women
twv10215,pl,0,@gladyswanga GENOWA<U+0001F603>,neutral,women
twv10218,en,0,"@gladyswanga That's is the first call of service, from there some of us will take you seriously",positive,women
twv10223,en,0,@gladyswanga Exactly why I voted and fought for you#tano tena,neutral,women
twv10225,hu,0,@gladyswanga Mosna @wakilinyokabi,neutral,women
twv10227,ht,0,@gladyswanga Tich ochakre achaka,neutral,women
twv10236,en,-0.5,@gladyswanga You can't hide behind competent leaders to become one. Homa bay county is ashamed of you.,insults and Hate speech,women
twv10239,en,-0.5,@gladyswanga Pliz madam work hard for the people of your count..ashame the devil(kidero)<U+0001F600><U+0001F600>,insults and Hate speech,women
twv10240,und,0,@gladyswanga https://t.co/0L5yZHb4KO,neutral,women
twv10242,en,-1.25,"@gladyswanga That hospital has the worst customer service experience. Tusichana twa KMTC ndio tuko hapo kuringa. I was there back in May, you may even die ukingoja huduma.",disinformation,women
twv10243,tl,0,@gladyswanga Piga mboka madam,neutral,women
twv10247,en,-0.6,@gladyswanga Please pay contractors too. Awiti really frustrated Contractors badly.,disinformation,women
twv10248,lv,0,@gladyswanga Maji,neutral,women
twv10250,en,-0.25,@gladyswanga Already hit the ground running. That's my governor,positive,women
twv10251,en,0,@gladyswanga Mama mchapa kazi keep going Genowa far you'll go by God's grace.,positive,women
twv10252,und,0,@gladyswanga #GenowaEnDongruok<U+0001F44F><U+0001F44F>,neutral,women
twv10257,und,0,@gladyswanga #Genowa,neutral,women
twv10259,sl,0,@gladyswanga @RailaOdinga @MarthaKarua Ile kazi inakungoja Homa bay...acha tu,satire,women
twv10262,en,-1,@gladyswanga That's not even a hospital .. more of a village health canteen . The previous governor should be jailed,satire,women
twv10267,tl,0,@gladyswanga En Kamano <U+0001F64C><U+0001F3FF><U+0001F1F0><U+0001F1EA>,positive,women
twv10269,en,0,@gladyswanga Time has come <U+0001F64C><U+0001F3FF><U+0001F1F0><U+0001F1EA>,neutral,women
twv10270,ht,0,@gladyswanga Kazi kwa mpigo.,neutral,women
twv10274,in,0,@gladyswanga Karibu,positive,women
twv10275,in,0,@gladyswanga Karibu,positive,women
twv10276,en,-1.85,"@gladyswanga Make an improtu visit to kendu bay mission hospital and you will be shocked by the devastating conditions of the patients wards.
They still use pit latrines which are usually full.",neutral,women
twv10277,en,0,@gladyswanga Make sure umefanya kazi ukiungana na hawa ma cartels ..the likes of koriko and ogwe will dump you and vote against you in 2027,trolling,women
twv10278,en,-1.85,"@gladyswanga Make an improtu visit to kendu bay mission hospital and you will be shocked by the devastating conditions of the patients wards.
They still use pit latrines which are usually full.",neutral,women
twv10281,tl,0,@gladyswanga Is that nyokabi?,neutral,women
twv10282,en,-0.5,@gladyswanga Don't forget Carol Mayunzu the former ODM Nairobi nominated MCA... She has stood with you,neutral,women
twv10285,tl,0,@gladyswanga Tiya tiya nyamin Kik ayuag kucha,trolling,women
twv10287,en,-0.75,@gladyswanga That hospital is pathetic,neutral,women
twv10288,in,0,"@gladyswanga Mama mzazi analea mwana Kwa upole na ukarimu,tunakuamini na ata mola anakuamini",positive,women
twv10292,tl,0,@gladyswanga Kiny nobed mondisore. Kwayona en ni county wa be indisee. Ndiswna Homa Bay Referral Hospital kanyakla gi other sectors.,neutral,women
twv10297,en,0,@gladyswanga Tich osechakre amor min county,neutral,women
twv10299,en,-1.4,"@gladyswanga Stop the Drama and post pictures of wards, Accidents and Emergency room,etc.
Question
When will you invest in water supply to us? We have lake water yet our women still fetch water from rivers,wash clothes at the lake,etc.
Please be differ",disinformation,women
twv10300,en,-0.8,"@gladyswanga Another 5 Years in hell for my home,Hbay county.
One day we will wake up from the chains of Odingaism and ODM.",disinformation,women
twv10302,en,-0.8,"@gladyswanga, @LilianMulii, @citizentvkenya,  
@LinusKaikai, @Fchurii I am impatiently waiting for the 2022 version of this 2016 interview. #Genowa
Woman In Leadership: Gladys Wanga Women Rep Homa Bay county https://t.co/rtWQeEXggf via @YouTube",neutral,women
twv10305,en,-0.25,"@gladyswanga kazi iendelee <U+0001F64F>
make it possible to those who were losing hope",neutral,women
twv10307,en,0,@gladyswanga Genowa a lot will be on your table from Monday #Wanga tiyo,neutral,women
twv10309,tl,0,@gladyswanga Wanga delivers Homa bay manyien,neutral,women
twv10311,en,-1.6,"@gladyswanga Homa Bay County has alot of ghost workers, some who have never even set foot in Hbay yet they are on county payroll. Wanga you have uphill task waiting for you. Be ruthless in serving the people of Hbay.",disinformation,women
twv10312,en,0,@gladyswanga That's not a Referral Hospital.,satire,women
twv10313,eu,-0.75,"@gladyswanga Kazi imeanza haraka,,no time to waste <U+0001F44F><U+0001F3FD><U+0001F44F><U+0001F3FD><U+0001F44F><U+0001F3FD>",neutral,women
twv10315,en,0,@gladyswanga My governor <U+0001F91D><U+0001F4AF>,neutral,women
twv10316,in,0,@gladyswanga Tafadhali Mama tieknwa Stadium wasai<U+0001F9D0><U+0001F9D0><U+0001F9D0>,neutral,women
twv10320,et,0,@gladyswanga sasa mama we need jobs ama hakuna,trolling,women
twv10323,tl,0,@gladyswanga Maendeleo sasa..siasa kando,neutral,women
twv10324,en,0,@gladyswanga I must attend 'geno wa edongruok,neutral,women
twv10328,en,0,@gladyswanga <U+0001D643><U+0001D640><U+0001D647><U+0001D64B> <U+0001D650><U+0001D64E> <U+0001D640><U+0001D653><U+0001D64B><U+0001D63C><U+0001D649><U+0001D63F> <U+0001D64A><U+0001D650><U+0001D64D> <U+0001D649><U+0001D640><U+0001D64F><U+0001D652><U+0001D64,neutral,women
twv10329,en,0,@gladyswanga <U+0001D643><U+0001D640><U+0001D647><U+0001D64B> <U+0001D650><U+0001D64E> <U+0001D640><U+0001D653><U+0001D64B><U+0001D63C><U+0001D649><U+0001D63F> <U+0001D64A><U+0001D650><U+0001D64D> <U+0001D649><U+0001D640><U+0001D64F><U+0001D652><U+0001D64,neutral,women
twv10330,en,0,@gladyswanga <U+0001D643><U+0001D640><U+0001D647><U+0001D64B> <U+0001D650><U+0001D64E> <U+0001D640><U+0001D653><U+0001D64B><U+0001D63C><U+0001D649><U+0001D63F> <U+0001D64A><U+0001D650><U+0001D64D> <U+0001D649><U+0001D640><U+0001D64F><U+0001D652><U+0001D64,neutral,women
twv10331,en,0,@gladyswanga <U+0001D643><U+0001D640><U+0001D647><U+0001D64B> <U+0001D650><U+0001D64E> <U+0001D640><U+0001D653><U+0001D64B><U+0001D63C><U+0001D649><U+0001D63F> <U+0001D64A><U+0001D650><U+0001D64D> <U+0001D649><U+0001D640><U+0001D64F><U+0001D652><U+0001D64,neutral,women
twv10333,und,0,"@gladyswanga 

#genowaendongruok",neutral,women
twv10336,in,0,@gladyswanga Hongera sana! Toka Dar.,positive,women
twv10338,und,0,@gladyswanga @DownloaderBot,neutral,women
twv10339,und,0,@gladyswanga @SaveVidBot,neutral,women
twv10340,en,0,"@gladyswanga Kumbuka watu wa Central Kasipul Ward genowa,,tuko ICU kwa kila kitu,, we have vast lands and permanent water sources and majority still rely on rain fed agriculture,, Genowa parwaa,, no roads at all. Parwaaa",neutral,women
twv10341,tl,0,@gladyswanga Parie wana Central Kasipul ward genowa,neutral,women
twv10350,pl,0,@gladyswanga @RailaOdinga @MarthaKarua Odwogo dala,trolling,women
twv10351,en,0,@gladyswanga You wanted 21M for this event my governor????,satire,women
twv10357,en,0,@gladyswanga Am with you governor,neutral,women
twv10374,tl,0,@gladyswanga Mama nyalle,neutral,women
twv10378,fi,0,@gladyswanga @AzmioYouthWing Tunangoja dongruok Nyasuna,neutral,women
twv10383,en,0,@gladyswanga Now make sure that our pineapple <U+0001F34D> is sold Internationally.,neutral,women
twv10384,en,-0.5,@gladyswanga Martha delivered a junk of votes <U+0001F602><U+0001F976> from Morima to baba,neutral,women
twv10386,en,0,@gladyswanga shapeless women association [SWA],sexual violence,women
twv10387,en,0,@gladyswanga shapeless women association [SWA],sexual violence,women
twv10396,en,-0.25,@gladyswanga See your life Governor Wanga. Boss is talking about tallying while you are here shouting like a mad woman in stead of doing the same https://t.co/e1z0RQ3NFw https://t.co/gfzeZRBICI,insults and Hate speech,women
twv10398,en,0,@gladyswanga @RailaOdinga @MarthaKarua Kamano my governor,neutral,women
twv10410,en,0,@gladyswanga You should explain this before a petition is lodged to overturn your win. https://t.co/Uw8Ib2jk2u,disinformation,women
twv10411,pt,0,@gladyswanga Hongera madam governor,positive,women
twv10414,en,-0.75,@gladyswanga Let him leave. He is the worst the county will ever have. Ashindwi,insults and Hate speech,women
twv10416,en,0,@gladyswanga Liiifeee!!,neutral,women
twv10417,in,0,@gladyswanga Ambia Martha kwao ni kirinyanga,trolling,women
twv10423,tl,0,"@gladyswanga Bass nya county gini wasekawo , koro para kidonjo elochni...",positive,women
twv10424,tl,0,@gladyswanga Mit nya county,neutral,women
twv10425,en,0,@gladyswanga You're among those elected using Babas name to woo voters,disinformation,women
twv10428,en,-0.2,"@gladyswanga Kindly solve the water shortage menace, it's disheartening when Homabay is a bay within the great Lake Victoria....Wach pi theko Homabay Town",neutral,women
twv10429,in,0,@gladyswanga Nyasuna Koro chwadwa e Gilbeys cha wa,neutral,women
twv10438,en,0,@gladyswanga HON GLADYS WANGA FOR PRESIDENT!,neutral,women
twv10439,en,-1.25,"@gladyswanga Indian cartels who built hotels at the behest of county development must go. Ogwe, Koriko, Otie Polo, this guy's will make you fail terribly.",disinformation,women
twv10440,pl,0,@gladyswanga @silasjakakimba Mama wuoi cha nichwado molal kanye<U+0001F602><U+0001F602><U+0001F602> Homabay e genowa kos dongruok<U+0001F973><U+0001F973>,trolling,women
twv10446,tl,0,@gladyswanga Una uwezo mheshimiwa,neutral,women
twv10465,in,0,"@gladyswanga Safi sana nyako 
Mimi ni team azimio kindaki ndaki",neutral,women
twv10466,tl,0,@gladyswanga @RailaOdinga @MarthaKarua Namuombea Sana baba kila nikiamka na nikilala na msikate tamaa,positive,women
twv10473,und,0,@gladyswanga https://t.co/aIJ9DUVsTJ,neutral,women
twv10483,und,0,@gladyswanga Uko na kazi na Raila hana.,trolling,women
twv10487,tr,0,@gladyswanga Twende kazi,neutral,women
twv10488,en,0,@gladyswanga On the way Madam Governor,neutral,women
twv10493,en,-0.75,@gladyswanga Just as I said Negowa. A budget of 17-22 million for 4hours and a county like Kirinyaga and others need 250k for swearing in. Nurses are on strike no medicine. Negowa. Jokano tiekowa. Chamuru mumadh sub Homa Bay. https://t.co/vXUH7Gbmc9,disinformation,women
twv10497,und,0,@gladyswanga Geno obiro ne JoHomabay @gladyswanga,neutral,women
twv10498,ht,0,"@gladyswanga Miwa tich e county, waol",neutral,women
twv10505,und,0,@gladyswanga https://t.co/ig1QJqyeam,neutral,women
twv10506,en,-4.15,"@gladyswanga To those to be sworn in, I plead with you, don't make a useless leader, revise your manifesto and work a plan. It is shameful and embarrassing to fail as a leader. The voters can hate you if you seem to  forget that they woke up at dawn to ca",disinformation,women
twv10512,en,-0.25,@gladyswanga Ruto is not a fool. He must have bought the supreme court too...Do something to the judges too,disinformation,women
twv10515,en,-0.5,@gladyswanga Congratulations my governor....Kidero with all his demonic plans failed on arrival...,insults and Hate speech,women
twv10517,en,0,@gladyswanga @MarthaKarua @RailaOdinga Together as one make differences,positive,women
twv10523,pl,0,@gladyswanga Genowa genowa kende,neutral,women
twv10526,in,0,@gladyswanga Hongera mama,positive,women
twv10531,tl,0,"@gladyswanga 1st thing after chamo muma. Taon onge pi, odhiso losnwa county koro.",neutral,women
twv10532,in,0,@gladyswanga Roda indiko English mangeny,trolling,women
twv10534,en,0,@gladyswanga Wewe hutamaliza 3months before uwe impeached,trolling,women
twv10539,tl,0,@gladyswanga nyiew ne magwangwa suit,neutral,women
twv10540,tl,0,@gladyswanga Kazi kwako sasa mama...,neutral,women
twv10542,en,0,@gladyswanga That is Min piny,neutral,women
twv10546,in,0,@gladyswanga Hello jatelo,neutral,women
twv10548,cy,0,@gladyswanga congratz! anyalo tij ywecho maber!,positive,women
twv10549,tl,0,@gladyswanga Mano waya,neutral,women
twv10555,en,0,@gladyswanga @RailaOdinga @MarthaKarua <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>do anything for clout,trolling,women
twv10556,und,0,@gladyswanga https://t.co/CtwovfPvx2,neutral,women
twv10557,en,-1.25,@gladyswanga Unreasonable budget! Bad start for the county,disinformation,women
twv10558,in,0,@gladyswanga Sikuamini ! <U+0001F603>,satire,women
twv10561,en,0,@gladyswanga First day you are asking for 22 million to carry a bible?,trolling,women
twv10562,in,0,@gladyswanga Iromo wanbende wan ba'ngi,positive,women
twv10572,en,0,@gladyswanga 100 days,neutral,women
twv10578,en,0,@gladyswanga I'm more than happy for you..someone wanted to devolve corruption to the village after messing Nairobi,trolling,women
twv10579,ht,-0.05,"@gladyswanga @RailaOdinga @MarthaKarua Mamawa 
Genowa 
Atis 
Odiso
Mob love
<U+2764><U+2764><U+2764>",positive,women
twv10580,en,0,@gladyswanga Aaaaah ket gino weekend,neutral,women
twv10583,en,-1,@gladyswanga Kisii are lucky people! Simba Arati has denied swearing in budget of shs56m and slashed it to only shs3m! This is LEADERSHIP<U+0001F44D>,positive,women
twv10584,en,-1,@gladyswanga Kisii are lucky people! Simba Arati has denied swearing in budget of shs56m and slashed it to only shs3m! This is LEADERSHIP<U+0001F44D>,positive,women
twv10587,und,0,@gladyswanga https://t.co/WsuLz8MI2Y,neutral,women
twv10589,pl,0,@gladyswanga Genowa,neutral,women
twv10590,tl,-0.5,@gladyswanga Mko na haraka ya swearing in ?????,trolling,women
twv10591,en,-1,@gladyswanga Kisii are lucky people! Simba Arati has denied swearing in budget of shs56m and slashed it to only shs3m! This is LEADERSHIP<U+0001F44D>,positive,women
twv10592,und,0,"@gladyswanga ,@SakajaJohnson , @Natembeya_G https://t.co/4UmMLImOxi",neutral,women
twv10593,en,-2.5,"@gladyswanga Mama if you absorb these thieves into your government, you will disappoint yourself",trolling,women
twv10596,tl,0,"@gladyswanga Tem igerie ofis manyien kaka kar log tich kata paw loch ma Homa Bay. Kama ubetie no ne od kwoto andiwo kod od koyugi mane iuse kon'go kod former councilor moro maa Homa Bay East ward. Kar koyugi no niluongo ni masawa, n'gama ne savo customers",neutral,women
twv10597,es,0,@gladyswanga Mama ine kiongos,positive,women
